YEAR;£ to € Change;€ INFLATION
1996;1.518977;1.5021
1997;1.518977;1.4698
1998;1.518977;1.4466
1999;1.518977;1.4346
2000;1.641533;1.4089
2001;1.608037;1.3737
2002;1.592554;1.3455
2003;1.443022;1.3151
2004;1.474036;1.2890
2005;1.461216;1.2593
2006;1.466612;1.2314
2007;1.461786;1.2081
2008;1.259467;1.1717
2009;1.12246;1.1526
2010;1.165737;1.1421
2011;1.15258;1.1173
2012;1.233263;1.0874
2013;1.177964;1.0638
2014;1.240494;1.0548
2015;1.377982;1.0566
2016;1.224833;1.0540
2017;1.141317;1.0425
2018;1.130081;1.0287
2019;1.139727;1.0133
2020;1.12685;1.0000