"TIME","GEO","SEX","CATEGORY","NACE_R2","AGE","UNIT","Value"
"2017","Portugal","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","937.7"
"2018","Portugal","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","982.3"
"2019","Portugal","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","990.2"
"2010","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,065.3"
"2011","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,101.8"
"2012","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,109.4"
"2013","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,095.7"
"2014","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,111.9"
"2015","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,181.4"
"2016","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,194.0"
"2017","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,250.5"
"2018","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,247.9"
"2019","Romania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,254.3"
"2010","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","209.3"
"2011","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","217.3"
"2012","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","217.1"
"2013","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","216.5"
"2014","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","213.4"
"2015","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","223.1"
"2016","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","235.0"
"2017","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","245.7"
"2018","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","245.5"
"2019","Slovenia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","248.4"
"2010","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","479.2"
"2011","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","466.5"
"2012","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","444.6"
"2013","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","425.5"
"2014","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","430.9"
"2015","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","445.0"
"2016","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","466.6"
"2017","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","484.4"
"2018","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","504.3"
"2019","Slovakia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","525.5"
"2010","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","644.8"
"2011","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","654.5"
"2012","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","670.0"
"2013","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","675.5"
"2014","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","684.0"
"2015","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","694.7"
"2016","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","696.8"
"2017","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","718.9"
"2018","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","750.0"
"2019","Finland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","766.9"
"2010","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,120.1"
"2011","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,184.6"
"2012","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,223.7"
"2013","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,269.0"
"2014","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,319.9"
"2015","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,376.6"
"2016","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,436.4"
"2017","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,465.9"
"2018","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,535.8"
"2019","Sweden","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,570.6"
"2010","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,337.8"
"2011","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","7,221.4"
"2012","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","7,395.7"
"2013","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","7,722.1"
"2014","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","7,956.1"
"2015","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,162.5"
"2016","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,448.3"
"2017","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,608.7"
"2018","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,867.4"
"2019","United Kingdom","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","9,215.1"
"2010","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","42.9"
"2011","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","45.1"
"2012","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","44.3"
"2013","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","45.6"
"2014","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","47.2"
"2015","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","50.1"
"2016","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","52.2"
"2017","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","53.7"
"2018","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","57.0"
"2019","Iceland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","56.0"
"2010","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","594.4"
"2011","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","639.9"
"2012","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","666.5"
"2013","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","681.9"
"2014","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","717.7"
"2015","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","739.8"
"2016","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","746.2"
"2017","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","754.9"
"2018","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","763.9"
"2019","Norway","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","772.4"
"2010","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","921.3"
"2011","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","888.9"
"2012","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","929.5"
"2013","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","983.1"
"2014","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,033.2"
"2015","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,069.9"
"2016","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,112.1"
"2017","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,144.7"
"2018","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,193.0"
"2019","Switzerland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,235.0"
"2010","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand",":"
"2011","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","40.9"
"2012","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","40.1"
"2013","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","43.4"
"2014","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","47.1"
"2015","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","46.5"
"2016","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","47.0"
"2017","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","47.5"
"2018","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","48.8"
"2019","Montenegro","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","52.3"
"2010","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","83.3"
"2011","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","94.4"
"2012","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","98.5"
"2013","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","97.0"
"2014","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","98.8"
"2015","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","110.4"
"2016","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","119.5"
"2017","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","120.7"
"2018","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","125.7"
"2019","North Macedonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","134.8"
"2010","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","416.2"
"2011","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","254.5"
"2012","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","258.8"
"2013","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","377.9"
"2014","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","453.8"
"2015","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","463.2"
"2016","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","480.2"
"2017","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","502.2"
"2018","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","516.2"
"2019","Serbia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","538.6"
"2010","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,494.2"
"2011","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,638.4"
"2012","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,836.9"
"2013","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,954.4"
"2014","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","2,075.1"
"2015","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","2,306.0"
"2016","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","2,524.4"
"2017","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","2,696.6"
"2018","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","2,860.9"
"2019","Turkey","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,005.5"
